# 浏览器,
Mem Reduct 内存清理,winget install --id Henry++.MemReduct -e --silent --accept-package-agreements --accept-source-agreements
Windows 内存清理器,winget install --id IgorMundstein.WinMemoryCleaner -e --silent --accept-package-agreements --accept-source-agreements
Geek 卸载工具,winget install --id GeekUninstaller.GeekUninstaller -e --silent --accept-package-agreements --accept-source-agreements
Revo 卸载工具,winget install --id RevoUninstaller.RevoUninstaller -e --silent --accept-package-agreements --accept-source-agreements
CPU-Z 硬件检测,winget install --id CPUID.CPU-Z -e --silent --accept-package-agreements --accept-source-agreements
HWMonitor 硬件监控,winget install --id CPUID.HWMonitor -e --silent --accept-package-agreements --accept-source-agreements
GPU-Z 显卡检测,winget install --id TechPowerUp.GPU-Z -e --silent --accept-package-agreements --accept-source-agreements
Etcher U盘启动盘,winget install --id Balena.Etcher -e --silent --accept-package-agreements --accept-source-agreements
Rufus U盘启动盘,winget install --id Rufus.Rufus -e --silent --accept-package-agreements --accept-source-agreements
Windows Terminal,winget install --id Microsoft.WindowsTerminal -e --silent --accept-package-agreements --accept-source-agreements
WezTerm 终端,winget install --id wez.wezterm -e --silent --accept-package-agreements --accept-source-agreements
Starship 命令行提示符,winget install --id Starship.Starship -e --silent --accept-package-agreements --accept-source-agreements
Bitwarden 密码管理器,winget install --id Bitwarden.Bitwarden -e --silent --accept-package-agreements --accept-source-agreements
1Password,winget install --id AgileBits.1Password -e --silent --accept-package-agreements --accept-source-agreements
KeePassXC 密码管理,winget install --id KeePassXCTeam.KeePassXC -e --silent --accept-package-agreements --accept-source-agreements
Malwarebytes 反恶意软件,winget install --id Malwarebytes.Malwarebytes -e --silent --accept-package-agreements --accept-source-agreements
OpenVPN Connect,winget install --id OpenVPNTechnologies.OpenVPNConnect -e --silent --accept-package-agreements --accept-source-agreements
WireGuard VPN,winget install --id WireGuard.WireGuard -e --silent --accept-package-agreements --accept-source-agreements
GIMP 图像编辑,winget install --id GIMP.GIMP -e --silent --accept-package-agreements --accept-source-agreements
Krita 绘画,winget install --id KDE.Krita -e --silent --accept-package-agreements --accept-source-agreements
Inkscape 矢量绘图,winget install --id Inkscape.Inkscape -e --silent --accept-package-agreements --accept-source-agreements
Blender 3D 建模,winget install --id BlenderFoundation.Blender -e --silent --accept-package-agreements --accept-source-agreements
Figma 设计工具,winget install --id Figma.Figma -e --silent --accept-package-agreements --accept-source-agreements
Adobe Acrobat Pro,winget install --id Adobe.AdobeAcrobat -e --silent --accept-package-agreements --accept-source-agreements
draw.io 图表工具,winget install --id JGraph.Draw -e --silent --accept-package-agreements --accept-source-agreements
Excalidraw 手绘图表,winget install --id Excalidraw.Excalidraw -e --silent --accept-package-agreements --accept-source-agreements
OneDrive,winget install --id Microsoft.OneDrive -e --silent --accept-package-agreements --accept-source-agreements
Dropbox,winget install --id Dropbox.Dropbox -e --silent --accept-package-agreements --accept-source-agreements
Nextcloud 客户端,winget install --id Nextcloud.NextcloudDesktop -e --silent --accept-package-agreements --accept-source-agreements
百度网盘,winget install --id Baidu.BaiduNetdisk -e --silent --accept-package-agreements --accept-source-agreements
阿里云盘,winget install --id Aliyun.Workbench -e --silent --accept-package-agreements --accept-source-agreements
UU远程,winget install --id NetEase.UURemote -e --silent --accept-package-agreements --accept-source-agreements
TeamViewer,winget install --id TeamViewer.TeamViewer -e --silent --accept-package-agreements --accept-source-agreements
AnyDesk,winget install --id AnyDeskSoftwareGmbH.AnyDesk -e --silent --accept-package-agreements --accept-source-agreements
Power BI Desktop,winget install --id Microsoft.PowerBI -e --silent --accept-package-agreements --accept-source-agreements
qBittorrent 下载,winget install --id qBittorrent.qBittorrent -e --silent --accept-package-agreements --accept-source-agreements
aria2 命令行下载,winget install --id aria2.aria2 -e --silent --accept-package-agreements --accept-source-agreements
yt-dlp 视频下载,winget install --id yt-dlp.yt-dlp -e --silent --accept-package-agreements --accept-source-agreements
ripgrep 快速搜索,winget install --id BurntSushi.ripgrep.MSVC -e --silent --accept-package-agreements --accept-source-agreements
fd 快速文件查找,winget install --id sharkdp.fd -e --silent --accept-package-agreements --accept-source-agreements
jq JSON 处理,winget install --id jqlang.jq -e --silent --accept-package-agreements --accept-source-agreements
yq YAML 处理,winget install --id MikeFarah.yq -e --silent --accept-package-agreements --accept-source-agreements
lazygit Git TUI,winget install --id JesseDuffield.lazygit -e --silent --accept-package-agreements --accept-source-agreements
WinSCP SFTP 客户端,winget install --id WinSCP.WinSCP -e --silent --accept-package-agreements --accept-source-agreements
PuTTY SSH 客户端,winget install --id PuTTY.PuTTY -e --silent --accept-package-agreements --accept-source-agreements
VC++ 2015-2022 x64 运行库,winget install --id Microsoft.VCRedist.2015+.x64 -e --silent --accept-package-agreements --accept-source-agreements
VC++ 2015-2022 x86 运行库,winget install --id Microsoft.VCRedist.2015+.x86 -e --silent --accept-package-agreements --accept-source-agreements
.NET Desktop Runtime 8,winget install --id Microsoft.DotNet.DesktopRuntime.8 -e --silent --accept-package-agreements --accept-source-agreements
Java Runtime Environment,winget install --id Oracle.JavaRuntimeEnvironment -e --silent --accept-package-agreements --accept-source-agreements
腾讯ima知识库,winget install --id Tencent.ima-copilot -e --silent --accept-package-agreements --accept-source-agreements
ChatGPT 桌面端,winget install --id OpenAI.ChatGPT -e --silent --accept-package-agreements --accept-source-agreements
LM Studio 本地大模型,winget install --id LMStudio.LMStudio -e --silent --accept-package-agreements --accept-source-agreements
AYA可视化ADB工具,winget install --id LiriLiri.AYA -e --silent --accept-package-agreements --accept-source-agreements
Android Platform Tools (ADB),winget install --id Google.PlatformTools -e --silent --accept-package-agreements --accept-source-agreements
